Designator,Mid X,Mid Y,Rotation,Layer
C1,5.334,-6.858,270.0,top
C2,10.922,-6.858,270.0,top
C3,11.168,-4.064,180.0,top
C4,20.746,6.35,90.0,top
CD4053B,18.01,0.0,270.0,top
CH340E,10.668,0.0,0.0,top
D1,2.794,7.366,0.0,top
D2,16.256,6.858,270.0,top
D3,16.256,-6.858,270.0,top
D4,19.147,-6.059,180.0,top
J1,4.3,0.0,270.0,top
J2,24.36,0.0,180.0,top
R1,8.09,-2.54,270.0,top
R2,8.09,2.54,90.0,top
R3,17.78,6.858,270.0,top
R4,14.732,-6.858,270.0,top
R5,19.304,-7.62,180.0,top
SW1,10.668,5.124,0.0,top
U3,8.128,-6.858,180.0,top
